time	ref	y	y_dot	p1	p2	z	u
0.246000	-0.295309	0.063536	-0.297481	12403655.994325	29362188.332762	-0.125463	-0.125463
0.247000	-0.295309	0.063238	-0.297481	12403659.230893	29362187.884818	-0.125463	-0.125463
0.248000	-0.295309	0.062941	-0.297481	12403661.953110	29362187.530295	-0.125463	-0.125463
0.249000	-0.295309	0.062643	-0.297481	12403664.291457	29362187.197140	-0.125463	-0.125463
0.250000	-0.295309	0.062346	-0.297481	12403666.333395	29362186.891033	-0.125463	-0.125463
0.251000	-0.295309	0.062048	-0.297481	12403668.115239	29362186.625161	-0.125463	-0.125463
0.252000	-0.295309	0.061751	-0.297481	12403669.651213	29362186.405612	-0.125463	-0.125463
0.253000	-0.295309	0.061453	-0.297482	12403670.951942	29362186.231406	-0.125463	-0.125463
0.254000	-0.295309	0.061156	-0.297482	12403672.118437	29362186.038711	-0.125463	-0.125463
0.255000	-0.295309	0.060858	-0.297482	12403673.119380	29362185.900017	-0.125463	-0.125463
0.256000	-0.295309	0.060561	-0.297482	12403673.924979	29362185.814160	-0.125463	-0.125463
0.257000	-0.295309	0.060263	-0.297482	12403674.713077	29362185.648344	-0.125463	-0.125463
0.258000	-0.295309	0.059966	-0.297482	12403675.319407	29362185.605576	-0.125463	-0.125463
0.259000	-0.295309	0.059668	-0.297482	12403675.891551	29362185.491892	-0.125463	-0.125463
0.260000	-0.295309	0.059371	-0.297482	12403676.370591	29362185.434386	-0.125463	-0.125463
0.261000	-0.295309	0.059073	-0.297482	12403676.781334	29362185.374779	-0.125463	-0.125463
0.262000	-0.295309	0.058776	-0.297482	12403677.156796	29362185.309720	-0.125463	-0.125463
0.263000	-0.295309	0.058478	-0.297482	12403677.420416	29362185.304770	-0.125463	-0.125463
0.264000	-0.295309	0.058181	-0.297482	12403677.708944	29362185.227548	-0.125463	-0.125463
0.265000	-0.295309	0.057883	-0.297482	12403678.019131	29362185.153847	-0.125463	-0.125463
0.266000	-0.295309	0.057586	-0.297482	12403678.224996	29362185.158553	-0.125463	-0.125463
0.267000	-0.295309	0.057289	-0.297482	12403678.356312	29362185.160788	-0.125463	-0.125463
0.268000	-0.295309	0.056991	-0.297482	12403678.461705	29362185.148818	-0.125463	-0.125463
0.269000	-0.295309	0.056694	-0.297482	12403678.479933	29362185.184936	-0.125463	-0.125463
0.270000	-0.295309	0.056396	-0.297482	12403678.472573	29362185.195122	-0.125463	-0.125463
0.271000	-0.295309	0.056099	-0.297482	12403678.580120	29362185.119316	-0.125463	-0.125463
0.272000	-0.295309	0.055801	-0.297482	12403678.677260	29362185.108038	-0.125463	-0.125463
0.273000	-0.295309	0.055504	-0.297482	12403678.752476	29362185.100140	-0.125463	-0.125463
0.274000	-0.295309	0.055206	-0.297482	12403678.823776	29362185.086377	-0.125463	-0.125463
0.275000	-0.295309	0.054909	-0.297482	12403678.897263	29362185.069747	-0.125463	-0.125463
0.276000	-0.295309	0.054611	-0.297482	12403678.971956	29362185.053375	-0.125463	-0.125463
0.277000	-0.295309	0.054314	-0.297482	12403679.043966	29362185.039273	-0.125463	-0.125463
0.278000	-0.295309	0.054016	-0.297482	12403679.109325	29362185.028280	-0.125463	-0.125463
0.279000	-0.295309	0.053719	-0.297482	12403679.165415	29362185.020352	-0.125463	-0.125463
0.280000	-0.295309	0.053421	-0.297482	12403679.211340	29362185.014943	-0.125463	-0.125463
0.281000	-0.295309	0.053124	-0.297482	12403679.248808	29362185.011180	-0.125463	-0.125463
0.282000	-0.295309	0.052826	-0.297482	12403679.276631	29362185.008762	-0.125463	-0.125463
0.283000	-0.295309	0.052529	-0.297482	12403679.298027	29362185.006931	-0.125463	-0.125463
0.284000	-0.295309	0.052231	-0.297482	12403679.314705	29362185.005373	-0.125463	-0.125463
0.285000	-0.295309	0.051934	-0.297482	12403679.328047	29362185.003941	-0.125463	-0.125463
0.286000	-0.295309	0.051636	-0.297482	12403679.339042	29362185.002591	-0.125463	-0.125463
0.287000	-0.295309	0.051339	-0.297482	12403679.348323	29362185.001338	-0.125463	-0.125463
0.288000	-0.295309	0.051041	-0.297482	12403679.356264	29362185.000216	-0.125463	-0.125463
0.289000	-0.295309	0.050744	-0.297482	12403679.363074	29362184.999247	-0.125463	-0.125463
0.290000	-0.295309	0.050446	-0.297482	12403679.368876	29362184.998439	-0.125463	-0.125463
0.291000	-0.295309	0.050149	-0.297482	12403679.373767	29362184.997785	-0.125463	-0.125463
0.292000	-0.295309	0.049851	-0.297482	12403679.377839	29362184.997265	-0.125463	-0.125463
0.293000	-0.295309	0.049554	-0.297482	12403679.381194	29362184.996855	-0.125463	-0.125463
0.294000	-0.295309	0.049257	-0.297482	12403679.383937	29362184.996529	-0.125463	-0.125463
0.295000	-0.295309	0.048959	-0.297482	12403679.386172	29362184.996268	-0.125463	-0.125463
0.296000	-0.295309	0.048662	-0.297482	12403679.387993	29362184.996054	-0.125463	-0.125463
0.297000	-0.295309	0.048364	-0.297482	12403679.389484	29362184.995876	-0.125463	-0.125463
0.298000	-0.295309	0.048067	-0.297482	12403679.390710	29362184.995726	-0.125463	-0.125463
0.299000	-0.295309	0.047769	-0.297482	12403679.391724	29362184.995600	-0.125463	-0.125463
0.300000	0.418988	0.000009	0.020249	2807096.547882	2397062.341386	0.013228	0.072972
0.301000	0.418988	0.000045	0.053581	4237627.424537	2010976.712814	0.025299	0.079820
